Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.0018434827144906,0.9498405366447298,1.0554750220650735,-0.0018434827144906407,-0.02048314127211823
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.0790882657059335,0.9781008239285345,1.1797652901076074,0.0009117342940665463,0.008288493582423147
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1458808187890768,1.128630774332298,1.1635889777770498,-0.015880818789076878,-0.5293606263025626
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.0018434827144906,0.9498405366447298,1.0554750220650735,-0.0018434827144906407,-0.061449423816354695
