time,sse_coherence_reg,sse_coherence_fib
0.0,0.9995947781288085,0.984586100590472
0.01,0.9208490134222658,0.27306802044950695
0.1,0.8076586890320763,0.2326589915120935
0.2,0.7755234633703025,0.27563129700262035
0.3,0.7638943606688626,0.2965418463659691
0.4,0.7590405154034178,0.3096506507508374
0.5,0.7580133901227197,0.3218982321595714
0.6,0.757616654733481,0.33134066819119273
0.7000000000000001,0.7567558652707872,0.33629965628088915
0.8,0.7567813464251795,0.3388403472266612
0.9,0.7583808817934803,0.3359258994718439
1.0,0.7593321291377563,0.3305731711408143
1.1,0.7597372911726481,0.324563207295304
