time,sse_coherence_reg,sse_coherence_fib
0.0,0.9995947781288085,0.984586100590472
0.01,0.9611154754385799,0.26126912035271077
0.1,0.9119438498333292,0.10941285193910603
0.2,0.832032150807129,0.06066615748404829
0.3,0.30738512157004605,0.05052382578171262
0.4,0.2769952457708384,0.05268682699758081
0.5,0.29042871944047227,0.05863057285503522
0.6,0.3128311162494469,0.06595489314706365
0.7000000000000001,0.3342361536357727,0.07693369588145059
0.8,0.3537285787060592,0.089284891375178
0.9,0.37071017125249855,0.10014631336214505
1.0,0.38505944504652523,0.10706338193224775
1.1,0.3988046393962454,0.11047098301242418
