Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.0021271673778498,0.9487768627459077,1.055159082509111,-0.0021271673778497924,-0.023635193087219918
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.0758927796928006,0.9737328088456431,1.1782890453385884,0.004107220307199455,0.03733836642908595
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1326106778755578,1.1148067233014047,1.1517138071752409,-0.0026106778755579096,-0.08702259585193033
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.0021271673778498,0.9487768627459077,1.055159082509111,-0.0021271673778497924,-0.07090557926165975
