,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_xi,1.81,0.203,1.416,2.17,0.003,0.002,3951.0,2776.0,1.0
xi_healthy,0.753,0.038,0.68,0.824,0.001,0.0,3135.0,2642.0,1.0
xi_acute,0.723,0.031,0.664,0.78,0.001,0.0,2509.0,2506.0,1.0
xi_chronic,0.804,0.044,0.724,0.887,0.001,0.001,2834.0,2098.0,1.0
xi_diff,0.081,0.05,-0.009,0.18,0.001,0.001,3384.0,2285.0,1.0
