,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_xi_region[0],1.636,0.283,1.095,2.144,0.004,0.003,4119.0,2655.0,1.0
beta_xi_region[1],1.664,0.281,1.132,2.202,0.004,0.003,4415.0,2882.0,1.0
beta_xi_region[2],1.648,0.277,1.116,2.152,0.004,0.003,3928.0,2424.0,1.0
beta_xi_region[3],1.682,0.269,1.19,2.198,0.004,0.003,3791.0,2534.0,1.0
xi_acute_region[0],0.717,0.018,0.684,0.75,0.0,0.0,2816.0,2458.0,1.0
xi_acute_region[1],0.804,0.012,0.781,0.827,0.0,0.0,2578.0,2589.0,1.0
xi_acute_region[2],0.662,0.024,0.617,0.703,0.0,0.0,3248.0,2264.0,1.0
xi_acute_region[3],0.589,0.031,0.527,0.64,0.001,0.0,3444.0,2389.0,1.0
