,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
BG,0.068,0.03,0.013,0.125,0.001,0.0,3469.0,4792.0,1.0
FGM,-0.08,0.028,-0.133,-0.028,0.0,0.0,3943.0,4775.0,1.0
FWM,0.014,0.029,-0.039,0.069,0.0,0.0,3912.0,4801.0,1.0
PGM,-0.034,0.028,-0.087,0.02,0.0,0.0,3846.0,4326.0,1.0
