,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_xi,1.746,0.314,1.172,2.333,0.005,0.003,4817.0,4935.0,1.0
xi_control,0.801,0.046,0.716,0.892,0.001,0.001,4680.0,4787.0,1.0
xi_acute,0.775,0.035,0.712,0.841,0.001,0.0,3416.0,4248.0,1.0
xi_chronic,0.85,0.05,0.756,0.944,0.001,0.001,4691.0,5086.0,1.0
xi_diff,0.074,0.055,-0.025,0.182,0.001,0.001,6104.0,4617.0,1.0
protection_factor_acute,1.057,0.078,0.91,1.201,0.001,0.001,3583.0,4725.0,1.0
protection_factor_chronic,0.909,0.091,0.742,1.08,0.001,0.001,5023.0,5485.0,1.0
