Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.0018747527483443,0.9497453384961075,1.0531133631372254,-0.001874752748344255,-0.020830586092713946
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.0761860415100037,0.9721583731453766,1.1758573032102932,0.0038139584899963275,0.03467234990905752
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1218141687652468,1.107412174901726,1.136239910050871,0.008185831234753138,0.27286104115843796
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.0018747527483443,0.9497453384961075,1.0531133631372254,-0.001874752748344255,-0.06249175827814184
