condition,NAA_pred,Cho_pred,NAA_obs,Cho_obs,error_NAA_%,error_Cho_%
healthy,1.0716444337350335,0.23026668913927398,1.105,0.225,-3.0186032818974207,2.34075072856621
acute_HIV,1.1437273695230465,0.2434334119874589,1.135,0.245,0.768931235510708,-0.6394236785881987
chronic_HIV,0.9392499999999999,0.23184669588105616,1.005,0.235,-6.542288557213928,-1.3418315399760947
