,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
trace_loso_no_sailasuta2016,0,234.21033615908988,4.830072547071751,0.0,0.999999999999996,0.0,0.0,True,log
trace_with_valcour,1,227.6496417832744,6.670816826608302,6.560694375815473,0.0,0.0,0.0,True,log
trace_with_valcour_1,2,227.6496417832744,6.670816826608302,6.560694375815473,1.970645868709653e-15,0.0,0.0,True,log
trace_loso_no_sailasuta2012,3,147.1566668449907,4.798308587954324,87.05366931409918,1.4432899320127035e-15,0.0,0.0,True,log
trace_loso_no_young,4,32.39849071436883,4.597833889052261,201.81184544472103,1.1102230246251565e-15,0.0,0.0,True,log
