Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.0017707047898028,0.9470507912142464,1.0529356303414583,-0.0017707047898027906,-0.019674497664475453
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.077448186754384,0.9773797177899762,1.1820004079682846,0.0025518132456161524,0.023198302232874113
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.132552715627713,1.1149062441981665,1.1523744618319198,-0.002552715627713198,-0.08509052092377327
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.0017707047898028,0.9470507912142464,1.0529356303414583,-0.0017707047898027906,-0.05902349299342635
