,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.997,0.601,-3.138,-0.803,0.006,0.006,11233.0,7600.0,1.0
ξ_acute,0.608,0.092,0.437,0.785,0.001,0.001,9304.0,7961.0,1.0
ξ_chronic,0.811,0.121,0.574,1.043,0.001,0.001,9406.0,7116.0,1.0
ξ_control,0.506,0.077,0.363,0.66,0.001,0.001,10289.0,7234.0,1.0
r_NAA_ratio_baseline,1.367,0.019,1.33,1.404,0.0,0.0,4413.0,6073.0,1.0
α_acute,0.83,0.014,0.802,0.855,0.0,0.0,4816.0,5408.0,1.0
α_chronic,0.866,0.016,0.836,0.898,0.0,0.0,5230.0,6865.0,1.0
Cho_ratio_baseline,0.203,0.002,0.198,0.208,0.0,0.0,7499.0,6170.0,1.0
σ_naa_acute,0.081,0.01,0.062,0.101,0.0,0.0,6445.0,5637.0,1.0
σ_cho_acute,0.036,0.003,0.03,0.042,0.0,0.0,6588.0,6758.0,1.0
ν_naa,7.124,6.821,0.001,20.471,0.076,0.131,6166.0,4494.0,1.0
NAA_ratio_control_mean,1.367,0.019,1.33,1.404,0.0,0.0,4413.0,6073.0,1.0
NAA_ratio_acute_mean,1.133,0.01,1.115,1.153,0.0,0.0,11585.0,8097.0,1.0
NAA_ratio_chronic_mean,1.182,0.014,1.154,1.21,0.0,0.0,16294.0,7808.0,1.0
Δξ,0.203,0.15,-0.09,0.498,0.002,0.002,9363.0,7497.0,1.0
