Model,Acute Error (%),Chronic Error (%),Control Error (%),Mean Error (%)
FULL (ξ-dependent),0.3729429941553705,0.30799045271489867,4.5800786806083105,1.7536707091595265
NULL (Constant ξ),0.35480504757785336,0.3758884420684378,4.414623276905952,1.7151055888507478
NULL (No protection),0.33700159821894105,0.3158773396751752,4.493975001474177,1.715617979789431
