Parameter,Mean,SD,HDI_2.5%,HDI_97.5%
ξ_acute,0.6063321446113402,0.09171218328370043,0.4456384697701805,0.802307886334803
ξ_chronic,0.8105763012337645,0.12244847845792173,0.5976734709788374,1.0701441036905068
Δξ,0.20424415662242415,0.15486728069656505,-0.08941281657239963,0.5207867604228766
β_ξ,-2.0004100343387132,0.6026713916406244,-3.1889204625985,-0.8153421286889455
P(ξ_acute < ξ_chronic),0.9116,,,
