week_label,week_num,n,NAA_over_Cr_mean,SE,VL_log10_mean
week_0,0.0,44,1.3010085227272725,0.027679287571287035,2.813071603307762
week_4,4.0,41,1.3063323170731707,0.0344485954442593,
week_12,12.0,41,1.332185975609756,0.03420486113390346,
week_24,24.0,42,1.249065476190476,0.03380806862963358,1.0625
