fold,held_n,elpd_loo,p_loo,elpd_loo_per_obs
1,51,24.260650923347534,0.7627453388653578,0.4756990377126967
2,51,32.16446061536584,0.3689123167368962,0.6306756983405066
3,50,28.903836931869776,0.4212739262299081,0.5780767386373955
4,50,24.11249744849731,0.517888957731504,0.4822499489699462
5,50,24.606210266398143,0.4350138300425854,0.49212420532796286
