,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-1.998,0.594,-3.192,-0.878,0.005,0.006,12260.0,6872.0,1.0
ξ_acute,0.605,0.092,0.429,0.783,0.001,0.001,10066.0,6528.0,1.0
ξ_chronic,0.81,0.121,0.586,1.048,0.001,0.001,11677.0,7135.0,1.0
ξ_control,0.507,0.078,0.355,0.658,0.001,0.001,11080.0,7090.0,1.0
r_NAA_ratio_baseline,1.073,0.054,0.97,1.18,0.001,0.001,5115.0,5455.0,1.0
α_acute,1.029,0.052,0.928,1.131,0.001,0.001,5146.0,5599.0,1.0
α_chronic,0.937,0.051,0.841,1.041,0.001,0.001,5215.0,6150.0,1.0
Cho_ratio_baseline,0.209,0.001,0.206,0.212,0.0,0.0,10882.0,7454.0,1.0
σ_naa_acute,0.127,0.009,0.11,0.144,0.0,0.0,7537.0,6560.0,1.0
σ_cho_acute,0.027,0.001,0.024,0.029,0.0,0.0,11495.0,7114.0,1.0
ν_naa,9.955,7.349,1.073,24.121,0.085,0.157,7476.0,6930.0,1.0
NAA_ratio_control_mean,1.073,0.054,0.97,1.18,0.001,0.001,5115.0,5455.0,1.0
NAA_ratio_acute_mean,1.1,0.009,1.083,1.117,0.0,0.0,10165.0,6247.0,1.0
NAA_ratio_chronic_mean,1.002,0.027,0.951,1.058,0.0,0.0,15031.0,6669.0,1.0
Δξ,0.204,0.149,-0.093,0.494,0.001,0.002,11156.0,7185.0,1.0
