,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
β_ξ,-2.005,0.592,-3.113,-0.766,0.006,0.006,10478.0,7533.0,1.0
ξ_acute,0.607,0.09,0.44,0.784,0.001,0.001,10176.0,7309.0,1.0
ξ_chronic,0.808,0.121,0.59,1.054,0.001,0.001,9277.0,6719.0,1.0
ξ_control,0.506,0.078,0.363,0.665,0.001,0.001,9159.0,7011.0,1.0
r_NAA_ratio_baseline,1.32,0.023,1.276,1.365,0.0,0.0,4816.0,5646.0,1.0
α_acute,0.833,0.016,0.802,0.864,0.0,0.0,4987.0,5907.0,1.0
α_chronic,0.871,0.018,0.836,0.906,0.0,0.0,5154.0,5999.0,1.0
Cho_ratio_baseline,0.211,0.001,0.208,0.214,0.0,0.0,9021.0,7382.0,1.0
σ_naa_acute,0.127,0.009,0.11,0.144,0.0,0.0,7035.0,6540.0,1.0
σ_cho_acute,0.027,0.001,0.025,0.029,0.0,0.0,8732.0,7243.0,1.0
ν_naa,10.142,7.404,1.389,25.003,0.088,0.14,6737.0,7449.0,1.0
NAA_ratio_control_mean,1.32,0.023,1.276,1.365,0.0,0.0,4816.0,5646.0,1.0
NAA_ratio_acute_mean,1.098,0.009,1.081,1.116,0.0,0.0,10362.0,7733.0,1.0
NAA_ratio_chronic_mean,1.149,0.013,1.124,1.174,0.0,0.0,13820.0,7848.0,1.0
Δξ,0.201,0.149,-0.095,0.496,0.002,0.002,9731.0,6560.0,1.0
