,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
trace_with_valcour_2,0,660.1388035618537,4.986344894573222,0.0,0.9999999999999956,0.0,0.0,True,log
trace_with_valcour,1,227.6496417832744,6.670816826608302,432.4891617785793,2.1094237467877974e-15,0.0,0.0,True,log
trace_with_valcour_1,2,227.6496417832744,6.670816826608302,432.4891617785793,2.3037127760972e-15,0.0,0.0,True,log
trace_with_valcour_3,3,227.6496417832744,6.670816826608302,432.4891617785793,1.3877787807814457e-16,0.0,0.0,True,log
