,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
trace_with_valcour_2,0,661.7169542290644,3.4081942273624946,0.0,0.9999999999999956,0.0,0.0,True,log
trace_with_valcour,1,230.49796447300102,3.8224941368816987,431.21898975606337,2.1094237467877974e-15,0.0,0.0,True,log
trace_with_valcour_1,2,230.49796447300102,3.8224941368816987,431.21898975606337,2.3037127760972e-15,0.0,0.0,True,log
trace_with_valcour_3,3,230.49796447300102,3.8224941368816987,431.21898975606337,1.3877787807814457e-16,0.0,0.0,True,log
