Study,Phase,Metabolite,Mean_obs,SE,n,mu_phase_post_mean,mu_phase_HDI_low,mu_phase_HDI_high,residual,z_score
Mohamed et al. 2010,Chronic,NAA/Cr,1.0,0.09,26,1.0016614916013036,0.9486970443601846,1.054847985497538,-0.0016614916013035774,-0.01846101779226197
Mohamed et al. 2010,Control,NAA/Cr,1.08,0.11,18,1.074209600294082,0.9722786741419295,1.1770028194433262,0.005790399705918103,0.052639997326528215
Sailasuta et al. 2016,Acute,NAA/Cr,1.13,0.03,31,1.1000946029843541,1.08284065690778,1.1164452981570212,0.029905397015645763,0.9968465671881921
Sailasuta et al. 2016,Chronic,NAA/Cr,1.0,0.03,26,1.0016614916013036,0.9486970443601846,1.054847985497538,-0.0016614916013035774,-0.055383053376785916
